X,Y,Z,f=1/p
6.383313,0.44985092,8.032036,1
7.0105677,0.44027454,7.5388513,1
7.4486876,0.41393942,6.7894983,1
7.5229044,0.1697414,6.121545,1
7.735979,-0.21331441,5.5637197,1
7.8772306,-0.31865475,4.790426,1
8.595461,-0.31147245,3.6819584,1
9.189198,-0.08882126,2.944576,1
9.600983,0.047642335,2.1928291,1
9.92658,-0.012210116,0.904804,1
9.723082,-2.40E-04,-0.17014638,1
9.502824,-0.045727506,-1.2690377,1
9.466913,0.12185942,-2.633674,1
9.493248,0.37563384,-2.949695,1
9.024004,0.17213549,-3.8235412,1
7.8700485,0.21044107,-4.908068,1
7.4343233,1.0172523,-6.2631273,1
7.388835,1.275815,-6.976569,1
6.7783403,0.935853,-6.660548,1
5.9930754,0.67010796,-7.050786,1
5.4591913,0.65813756,-8.238259,1
4.9731894,0.8783946,-8.982824,1
3.9126034,0.9334588,-9.215051,1
3.6229174,0.7539015,-9.581349,1
3.218315,0.7227782,-9.322786,1
2.298981,0.837695,-9.306027,1
1.8464963,0.9454293,-10.067351,1
1.5568104,0.80178344,-10.620387,1
1.1737546,0.7299605,-11.341011,1
1.185725,0.97415864,-9.444885,1
1.2503657,0.694049,-9.612472,1
1.1186903,0.54561484,-9.526284,1
1.2982477,0.67489624,-9.959616,1
1.1881192,0.8041775,-10.318731,1
1.4323173,0.6533493,-10.819098,1
2.3061633,0.6413789,-10.44083,1
3.1057923,0.57913226,-9.756118,1
3.4074488,0.62222606,-9.461644,1
3.634888,0.595891,-9.397003,1
4.441699,0.57913226,-8.776931,1
5.1000767,0.75629556,-7.9030857,1
6.443166,0.57434404,-7.235132,1
7.50854,0.39478666,-6.4762025,1
7.793438,0.44745684,-5.5520806,1
8.198041,0.5384326,-4.917644,1
8.722348,0.7826307,-4.27842,1
9.012034,0.74193096,-3.4476676,1
9.160468,0.61504376,-2.4684813,1
9.292143,0.6653198,-1.6281525,1
9.715899,0.56476766,-0.52447295,1
9.823633,0.5336444,0.9215627,1
9.239473,0.49294472,2.0276363,1
9.081463,0.26071715,2.9589407,1
8.760654,0.3373283,4.299636,1
8.454209,0.49055064,5.32431,1
7.9610243,0.4953388,6.0281754,1
7.4798107,0.36366338,6.4926305,1
6.876498,0.25353485,7.155796,1
6.366555,0.26550537,7.6609507,1
5.746483,0.28944635,7.8548727,1
5.0545883,0.49055064,8.465368,1
4.386635,0.5073093,9.078257,1
3.3571727,0.6413789,9.995197,1
2.3995333,0.8185421,10.612874,1
2.277434,0.694049,10.4309225,1
2.4138978,0.23198797,10.165178,1
2.468962,-0.17022063,10.019138,1
2.7730124,-0.09121537,9.810851,1
3.6516469,0.36605752,9.214721,1
4.384241,0.5192798,8.982493,1
5.2963924,0.63898474,9.420613,1
6.198968,0.66053164,8.776601,1
7.046479,0.45463914,7.716015,1
7.7335854,0.105100706,6.844563,1
8.104671,-0.45272428,5.7241244,1
8.272258,-0.73522794,4.7449384,1
8.219587,-0.6370699,4.1440196,1
8.456603,-0.54370004,3.7513871,1
9.024004,-0.47666526,3.4617014,1
9.380725,-0.12233865,3.4617014,1
9.098221,-0.06488028,2.7051663,1
9.162862,-0.29231966,1.5057228,1
9.100616,-0.30189607,0.86889255,1
9.10301,0.19847058,-0.27069852,1
10.256966,0.3828162,-2.1931598,1
10.187536,0.1458004,-3.7373536,1
9.878698,-0.043333396,-5.0205903,1
8.497303,0.062006935,-2.707891,1
7.235613,0.8664241,-3.3902092,1
7.872443,2.3148537,-7.761833,1
6.936351,2.0131974,-7.704375,1
5.4903145,1.1968098,-7.697193,1
4.8008137,1.1944156,-7.931814,1
0.44116038,0.72756636,9.92098,0
0.44116038,0.65813756,9.887462,0
0.48425415,0.8209362,9.968862,0
0.49383053,0.6916549,9.93295,0
0.33582002,0.56476766,9.861127,0
0.3453964,0.6078614,9.753393,0
0.45552495,0.6892608,9.518771,0
0.47467774,0.58152634,9.399066,0
0.5273479,0.22480567,9.272179,0
0.7595755,-0.06009209,9.241056,0
1.2192425,-0.30668426,9.33682,0
2.5766964,0.19128828,9.712693,0
3.7091053,0.8783946,9.638476,0
4.003579,0.5432208,10.174754,0
4.578163,0.5408267,10.308824,0
4.3483295,0.48097426,8.996858,0
4.597316,0.9310647,7.447876,0
5.5717144,1.6828117,6.5405126,0
6.167845,1.836034,6.265191,0
5.62199,1.6277475,6.1095743,0
5.258087,1.2710268,5.582873,0
4.8199673,1.1489277,4.7209973,0
5.152746,1.2446917,4.48877,0
5.9691343,1.522407,4.730574,0
6.4958363,2.0586853,5.1423583,0
7.4103823,2.2119074,4.9675894,0
8.008906,1.6899941,4.1200786,0
7.7982264,0.7132018,2.5687025,0
7.9514484,0.5623735,1.682886,0
8.983305,0.89994144,1.3932002,0
9.720687,0.69644314,0.88086295,0
10.513134,0.57913226,0.40204322,0
10.924919,0.33972234,0.54568917,0
11.044624,0.4378804,0.806646,0
10.833943,0.5097034,-0.069594204,0
11.063777,0.62222606,-1.5491472,0
11.506685,0.89994144,-1.738281,0
11.975928,1.3500321,-1.1876384,0
11.774824,1.6085948,-1.6856109,0
11.303186,1.3979139,-3.0095475,0
10.855491,1.1848392,-4.213779,0
10.252177,0.81614804,-5.228877,0
10.146837,0.6892608,-5.2863355,0
10.343153,0.75629556,-5.20733,0
10.728603,0.73474866,-5.999777,0
10.766909,0.4881565,-6.830529,0
10.197113,0.3325401,-6.7132187,0
9.612953,0.5073093,-7.220767,0
9.608164,0.6365906,-8.403452,0
9.471702,0.15058859,-6.808982,0
9.122162,-0.41202462,-3.5218847,0
8.818112,-1.2571415,-3.4213326,0
8.538003,-1.9155186,-6.7946177,0
8.865994,-1.8556662,-6.564784,0
9.225109,-1.7599022,-4.7309046,0
9.629711,-1.5109159,-4.9703145,0
10.704662,-0.8740857,-5.9375305,0
12.552906,0.23198797,-7.1273975,0
13.790655,0.7299605,-8.769749,0
14.329328,0.6413789,-8.875089,0
14.300598,0.48336828,-7.0124807,0
14.195258,0.8113599,-4.8553977,0
13.948667,1.1680806,-3.5362492,0
13.204102,1.2303271,-3.045459,0
12.301526,1.3404557,-2.7126794,0
12.193791,1.735482,-0.8787997,0
12.07648,2.1065671,1.8097732,0
