X,Y,Z,rv=1/wave
17.858227,-10.534274,0.79228127,1
21.344036,-9.847168,0.19615075,1
28.885447,-7.8385186,3.9955854,1
34.197952,-4.6998553,6.238856,1
28.485634,-7.5177093,0.43795472,1
40.283752,-4.1707597,-1.2163675,1
37.05172,-1.9610065,1.9534192,1
28.62928,-2.554743,3.6388648,1
26.232786,-4.1970944,3.523948,1
28.816017,-4.6400027,1.3213772,1
29.469606,-4.209065,2.1162179,1
27.444199,-5.173887,2.6357372,1
24.635921,-7.081983,2.4059038,1
21.81328,-10.256559,0.51695997,1
17.807951,-12.571652,-1.7526457,1
13.053273,-13.325793,-1.5826646,1
9.306508,-13.900377,-0.100717515,1
4.805602,-14.400744,0.7060938,1
-0.08075315,-13.991353,1.3955942,1
-5.8984127,-12.803881,1.4362938,1
-13.030433,-11.398544,0.3110675,1
-19.731516,-9.916597,0.86649835,1
-27.282505,-9.674793,1.1394256,1
-31.855234,-8.264668,0.41640782,1
-28.295206,-8.238334,-0.27069852,1
-19.370007,-6.8904557,-1.6856109,1
-11.826201,-7.8864007,-3.531461,1
-7.028427,-8.257486,-4.5178294,1
-3.1835053,-9.559876,-3.1747403,1
1.9494426,-10.795231,-3.2489572,1
4.448881,-11.7289295,-2.9185717,1
7.9849653,-13.950653,-1.3887427,1
15.818458,-14.80774,-1.4055014,1
20.266691,-15.518788,0.0979927,1
27.860773,-14.774223,4.6563563,1
36.091686,-8.987686,5.367404,1
32.907536,-8.092294,8.788571,1
44.684105,-6.8473616,13.447487,1
46.89386,-2.7702117,1.3740473,1
35.66554,-4.055843,-0.4789851,1
34.420605,-3.3424015,7.627433,1
33.36241,-5.121217,9.195568,1
28.993181,-6.514582,6.6626115,1
27.56151,-7.101136,2.288593,1
24.564098,-9.184002,-0.15338767,1
21.37037,-11.956369,0.8617102,1
19.299475,-13.651391,0.58399475,1
14.652532,-16.598526,-0.8069767,1
8.739107,-17.350273,1.2495542,1
1.2144543,-16.936092,0.73721707,1
-5.3501644,-15.789321,-1.6784286,1
-10.066539,-14.865199,-2.0830312,1
-20.760979,-16.833147,-0.28266898,1
-35.637905,-15.894661,2.2526815,1
-37.905117,-12.969073,4.591716,1
-27.727806,-8.781795,3.1241336,1
-17.200954,-7.8720365,1.1274551,1
-9.863041,-8.688424,-0.18211687,1
-4.349431,-10.124884,-0.77106524,1
-0.6529428,-10.524698,-0.6322074,1
0.9127978,-10.972394,-1.0439924,1
6.076869,-12.1095915,0.7276406,1
13.520123,-10.072213,1.9917247,1
16.292488,-9.021204,1.7523148,1
21.162085,-8.456197,0.49301898,1
29.309204,-5.6024303,6.937933,1
29.92688,-3.7589748,8.913064,1
29.479183,-1.4965514,4.5007405,1
25.804241,0.5168857,4.254148,1
21.3584,-1.4438812,8.623379,1
22.658396,-1.7215966,9.195568,1
23.491543,0.5599795,1.9629956,1
20.826912,1.5607127,0.002228752,1
13.86966,0.25353485,1.4554466,1
7.9682074,-1.319388,2.8990881,1
5.4663734,-2.2315397,2.9326055,1
5.62199,-2.2554805,1.8720199,1
6.91241,-1.8891835,1.149002,1
7.9610243,-1.6282268,0.41401374,1
9.340025,-1.2116536,0.469078,1
10.989559,-0.7232574,1.2136427,1
12.253644,-0.26359048,1.8624434,1
12.481083,-0.007421926,1.682886,1
11.401344,-0.20852621,1.4219292,1
9.876305,-0.55567056,1.6110631,1
9.014428,-0.91239125,2.113824,1
14.836876,-1.1422248,5.3003693,1
16.507956,-1.5037336,5.712154,1
19.007395,-1.4917631,4.716209,1
21.490076,-0.9722437,4.493558,1
22.703884,-0.75438076,5.6930013,1
